sku_id,family,market,unit_cost,has_bias_flag,has_seasonality,has_bullwhip,avg_demand,mape,bias,total_weeks,excess_stock_units,excess_stock_eur,stockout_risk_units,stockout_risk_eur,mape_score,bias_score,financial_score,risk_score,risk_category
SKU-020,Medical Devices,France,936.97,0,1,0,15.888157894736842,8.6,2.9,152,24.0,22487.0,0.0,0.0,0.1702127659574468,0.12264150943396228,0.09291064538094877,0.128,LOW
SKU-040,Surgical Consumables,Benelux,36.98,0,0,1,217.0921052631579,6.7,2.5,152,282.0,10428.0,0.0,0.0,0.08936170212765959,0.1037735849056604,0.03924090631940148,0.08,LOW
SKU-018,Medical Devices,France,933.3,0,0,0,15.927631578947368,7.1,2.1,152,17.0,15866.0,0.0,0.0,0.10638297872340426,0.0849056603773585,0.06344324822309949,0.085,LOW
SKU-008,Medical Devices,Germany,706.79,0,0,0,16.07894736842105,6.7,1.8,152,15.0,10602.0,0.0,0.0,0.08936170212765959,0.07075471698113207,0.0400153100507813,0.067,LOW
SKU-045,Diagnostic Equipment,France,2117.64,0,0,0,10.421052631578947,6.0,1.8,152,10.0,21176.0,0.0,0.0,0.0595744680851064,0.07075471698113207,0.08707591381865601,0.072,LOW
SKU-046,Diagnostic Equipment,France,2093.5,0,1,0,11.06578947368421,7.4,1.8,152,10.0,20935.0,0.0,0.0,0.1191489361702128,0.07075471698113207,0.08600332014473339,0.09,LOW
SKU-004,Medical Devices,Benelux,900.96,0,1,0,15.861842105263158,7.7,1.8,152,15.0,13514.0,0.0,0.0,0.1319148936170213,0.07075471698113207,0.052975446060999874,0.084,LOW
SKU-041,Diagnostic Equipment,Benelux,2058.59,0,1,0,10.848684210526315,6.2,1.4,152,8.0,16469.0,0.0,0.0,0.06808510638297875,0.051886792452830184,0.06612695770598472,0.061,LOW
SKU-027,Surgical Consumables,France,45.71,0,0,1,211.26315789473685,7.5,1.4,152,154.0,7039.0,0.0,0.0,0.12340425531914895,0.051886792452830184,0.024157835942124447,0.065,LOW
SKU-016,Medical Devices,France,990.47,0,0,0,15.980263157894736,4.8,0.9,152,7.0,6933.0,0.0,0.0,0.008510638297872348,0.028301886792452834,0.023686072749444786,0.021,LOW
SKU-031,Surgical Consumables,France,47.88,0,1,0,216.80921052631578,7.0,0.9,152,101.0,4836.0,0.0,0.0,0.1021276595744681,0.028301886792452834,0.01435317260747077,0.046,LOW
SKU-012,Medical Devices,Germany,918.62,0,1,0,16.07236842105263,7.3,0.7,152,6.0,5512.0,0.0,0.0,0.11489361702127661,0.018867924528301886,0.01736177560984294,0.047,LOW
SKU-006,Medical Devices,France,1005.45,0,1,1,15.578947368421053,6.0,0.4,152,3.0,3016.0,0.0,0.0,0.0595744680851064,0.004716981132075473,0.006253087601084165,0.022,LOW
SKU-033,Surgical Consumables,France,48.83,0,0,0,211.72368421052633,5.8,0.3,152,33.0,1611.0,0.0,0.0,0.05106382978723405,0.0,0.0,0.015,LOW
SKU-044,Diagnostic Equipment,Benelux,2495.7,0,0,0,10.289473684210526,4.6,0.3,152,2.0,4991.0,0.0,0.0,0.0,0.0,0.015043015011860839,0.005,LOW
