sku_id,family,unit_cost,avg_demand,mape,bias,excess_stock_units,excess_stock_eur,stockout_risk_units,stockout_risk_eur,financial_score,risk_category,has_bias_flag,has_seasonality,has_bullwhip,mape_baseline,mape_hw,mape_xgb,best_model,best_mape,bullwhip_ratio,total_exposure_eur
SKU-035,Surgical Consumables,40.14,222.86184210526315,20.8,16.0,1854.0,74420.0,0.0,0.0,0.31866470837597466,HIGH,1,1,0,11.7,125.4,12.2,Baseline,11.7,1.4132483975652494,74420.0
SKU-005,Medical Devices,937.99,15.947368421052632,18.6,15.4,128.0,120063.0,0.0,0.0,0.5141069723427123,HIGH,1,0,0,12.7,11.3,10.5,XGBoost,10.5,1.6710153545046391,120063.0
SKU-038,Surgical Consumables,46.37,207.9671052631579,19.5,15.4,1665.0,77206.0,0.0,0.0,0.330594295550598,MEDIUM,1,0,0,,,,,,0.25651619055530944,77206.0
SKU-049,Diagnostic Equipment,2407.45,10.855263157894736,18.9,14.5,82.0,197411.0,0.0,0.0,0.8453093085892172,HIGH,1,0,1,9.7,8.2,16.6,Holt-Winters,8.2,1.781680134297806,197411.0
SKU-037,Surgical Consumables,48.04,213.7171052631579,19.9,14.4,1600.0,76864.0,0.0,0.0,0.32912985950834345,MEDIUM,1,1,0,,,,,,0.7545593896022812,76864.0
SKU-048,Diagnostic Equipment,2392.2,11.125,21.2,14.3,83.0,198553.0,0.0,0.0,0.8501993260168624,HIGH,1,1,0,13.1,41.9,22.9,Baseline,13.1,0.23273729681666566,198553.0
SKU-015,Medical Devices,757.88,15.25,16.9,14.0,111.0,84125.0,0.0,0.0,0.36022129255749624,MEDIUM,1,0,0,,,,,,2.098036166065282,84125.0
SKU-008,Medical Devices,706.79,18.0,18.3,12.9,121.0,85522.0,0.0,0.0,0.36620321405173484,MEDIUM,0,0,0,,,,,,0.7952364226583081,85522.0
SKU-033,Surgical Consumables,48.83,242.23026315789474,16.5,12.1,1524.0,74417.0,0.0,0.0,0.3186518624457795,MEDIUM,0,0,0,,,,,,1.129865513354424,74417.0
SKU-016,Medical Devices,990.47,18.901315789473685,18.8,11.5,113.0,111923.0,0.0,0.0,0.4792516817463614,MEDIUM,0,0,0,,,,,,0.8620580452084254,111923.0
SKU-001,Medical Devices,717.85,18.11842105263158,16.9,9.6,90.0,64606.0,0.0,0.0,0.27664138873069366,MEDIUM,0,1,0,,,,,,1.0207300452075074,64606.0
SKU-041,Diagnostic Equipment,2058.59,12.519736842105264,14.3,7.9,51.0,104988.0,0.0,0.0,0.44955617311175533,MEDIUM,0,1,0,,,,,,0.8031745778689463,104988.0
SKU-045,Diagnostic Equipment,2117.64,11.5,10.9,7.0,42.0,88941.0,0.0,0.0,0.38084329249754856,MEDIUM,0,0,0,,,,,,0.8142076090455497,88941.0
SKU-018,Medical Devices,933.3,16.75657894736842,12.1,5.5,48.0,44798.0,0.0,0.0,0.19182399362841862,LOW,0,0,0,,,,,,0.7511316971538368,44798.0
SKU-039,Surgical Consumables,37.74,219.5,7.3,3.6,411.0,15511.0,0.0,0.0,0.06641774108599494,LOW,0,0,0,,,,,,1.0627409863259227,15511.0
SKU-004,Medical Devices,900.96,17.210526315789473,11.4,3.4,30.0,27029.0,0.0,0.0,0.11573754908215829,LOW,0,1,0,,,,,,1.055532519721425,27029.0
SKU-012,Medical Devices,918.62,17.848684210526315,8.7,3.0,28.0,25721.0,0.0,0.0,0.11013672351704441,LOW,0,1,0,,,,,,1.104416088613713,25721.0
SKU-031,Surgical Consumables,47.88,228.41447368421052,9.8,2.9,344.0,16471.0,0.0,0.0,0.07052843874846385,LOW,0,1,0,,,,,,0.6602262620020344,16471.0
SKU-006,Medical Devices,1005.45,16.230263157894736,8.3,2.6,22.0,22120.0,0.0,0.0,0.09471732530605428,LOW,0,1,1,,,,,,1.0643467407889566,22120.0
SKU-050,Diagnostic Equipment,2202.51,11.263157894736842,9.2,2.4,14.0,30835.0,0.0,0.0,0.1320347525231548,LOW,0,1,0,,,,,,0.2693007954876174,30835.0
SKU-002,Medical Devices,910.08,17.789473684210527,7.9,2.2,20.0,18202.0,0.0,0.0,0.07794054047110308,LOW,0,1,0,,,,,,0.4655505977127273,18202.0
SKU-027,Surgical Consumables,45.71,211.5065789473684,9.4,2.0,220.0,10056.0,0.0,0.0,0.04305955801436175,LOW,0,0,1,,,,,,0.2781343614632184,10056.0
SKU-017,Medical Devices,814.51,16.17763157894737,6.8,2.0,17.0,13847.0,0.0,0.0,0.059292531804382174,LOW,0,0,0,,,,,,0.9262697545370454,13847.0
SKU-009,Medical Devices,876.3,16.32894736842105,7.3,2.0,17.0,14897.0,0.0,0.0,0.06378860737270754,LOW,0,1,0,,,,,,1.0774612488513637,14897.0
SKU-046,Diagnostic Equipment,2093.5,10.947368421052632,7.8,1.9,11.0,23028.0,0.0,0.0,0.0986053601784728,LOW,0,1,0,,,,,,0.8963518048249585,23028.0
SKU-043,Diagnostic Equipment,2149.96,11.151315789473685,6.1,1.9,11.0,23650.0,0.0,0.0,0.1012687497056141,LOW,0,0,1,,,,,,0.9337159828765785,23650.0
SKU-011,Medical Devices,896.13,16.236842105263158,6.6,1.5,13.0,11650.0,0.0,0.0,0.04988502892475282,LOW,0,0,0,,,,,,0.8607936554689914,11650.0
SKU-025,Surgical Consumables,40.74,214.01973684210526,9.2,1.4,156.0,6355.0,0.0,0.0,0.027211962130197786,LOW,0,1,0,,,,,,0.4686776877964937,6355.0
SKU-047,Diagnostic Equipment,2011.02,10.414473684210526,3.8,1.3,7.0,14077.0,0.0,0.0,0.06027738645268202,LOW,0,0,0,,,,,,0.9179784336329228,14077.0
SKU-022,Surgical Consumables,40.53,206.69078947368422,5.9,1.2,129.0,5228.0,0.0,0.0,0.022386174353528562,LOW,0,0,0,,,,,,0.8084273223423013,5228.0
SKU-010,Medical Devices,1014.98,15.723684210526315,7.1,0.9,7.0,7105.0,0.0,0.0,0.030423444679001613,LOW,0,0,0,,,,,,0.553921040065312,7105.0
SKU-023,Surgical Consumables,48.27,226.72368421052633,7.3,0.7,83.0,4006.0,0.0,0.0,0.01715359878734419,LOW,0,1,0,,,,,,0.23504127279083548,4006.0
SKU-007,Medical Devices,885.27,15.460526315789474,6.3,0.5,4.0,3541.0,0.0,0.0,0.015162479607085815,LOW,0,0,0,,,,,,0.7198020492088938,3541.0
SKU-040,Surgical Consumables,36.98,207.9671052631579,5.4,0.3,32.0,1183.0,0.0,0.0,0.0050655784736465745,LOW,0,0,1,,,,,,0.8241880266501059,1183.0
SKU-026,Surgical Consumables,41.37,205.6184210526316,5.5,0.2,21.0,869.0,0.0,0.0,0.0037210377798807042,LOW,0,0,0,,,,,,0.9492990375900544,869.0
SKU-020,Medical Devices,936.97,15.493421052631579,5.7,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0,1,0,,,,,,0.8783368464187586,0.0
SKU-044,Diagnostic Equipment,2495.7,10.605263157894736,5.2,-0.2,0.0,0.0,1.0,2496.0,0.010687813922419145,LOW,0,0,0,,,,,,0.3116878442100714,2496.0
